日時,ウィンドウタイトル
2025/12/22 9:15,業務TodoList
2025/12/22 9:16,Google Gemini - Google Chrome
2025/12/22 9:17,業務TodoList
2025/12/22 9:18,【日次】数値速報チェック業務
2025/12/22 9:19,【日次】数値速報チェック業務
2025/12/22 9:20,【日次】数値速報チェック業務
2025/12/22 9:21,【日次】数値速報チェック業務
2025/12/22 9:22,【日次】数値速報チェック業務
2025/12/22 9:23,LINE WORKS
2025/12/22 9:24,LINE WORKS
2025/12/22 9:25,LINE WORKS
2025/12/22 9:26,外部データから発行｜B2クラウド_2.pdf - Adobe Acrobat Reader (64-bit)
2025/12/22 9:27,02_分析用その他のタブを 2 する - エクスプローラー
2025/12/22 9:28,LINE WORKS
2025/12/22 9:29,未設定 (ワークスペース) - Antigravity - quick_analyzer.py
2025/12/22 9:30,工数分析レポート_20251222_092939.xlsx - Excel
2025/12/22 9:31,05_PMオフィスその他のタブを 3 する - エクスプローラー
2025/12/22 9:32,工数分析レポート_20251222_092939.xlsx - Excel
2025/12/22 9:33,工数分析レポート_20251222_092939.xlsx - Excel
2025/12/22 9:34,工数分析レポート_20251222_092939.xlsx - Excel
2025/12/22 9:35,工数分析レポート_20251222_092939.xlsx - Excel
2025/12/22 9:36,工数分析レポート_20251222_092939.xlsx - Excel
2025/12/22 9:37,工数分析レポート_20251222_092939.xlsx - Excel
2025/12/22 9:38,工数分析レポート_20251222_092939.xlsx - Excel
2025/12/22 9:39,工数分析レポート_20251222_092939.xlsx - Excel
2025/12/22 9:40,工数分析レポート_20251222_092939.xlsx - Excel
2025/12/22 9:41,工数分析レポート_20251222_092939.xlsx - Excel
2025/12/22 9:42,IDLE/Locked
2025/12/22 9:43,IDLE/Locked
2025/12/22 9:44,IDLE/Locked
2025/12/22 9:45,IDLE/Locked
2025/12/22 9:46,IDLE/Locked
2025/12/22 9:47,IDLE/Locked
2025/12/22 9:48,IDLE/Locked
2025/12/22 9:49,IDLE/Locked
2025/12/22 9:50,IDLE/Locked
2025/12/22 9:51,IDLE/Locked
2025/12/22 9:52,IDLE/Locked
2025/12/22 9:53,IDLE/Locked
2025/12/22 9:54,印刷
2025/12/22 9:55,印刷
2025/12/22 9:56,印刷
2025/12/22 9:57,外部データから発行｜B2クラウド_2.pdf - Adobe Acrobat Reader (64-bit)
2025/12/22 9:58,故障交換手順.xlsx - Excel
2025/12/22 9:59,外部データから発行｜B2クラウド_2.pdf - Adobe Acrobat Reader (64-bit)
2025/12/22 10:00,001_東コラボ - akasaka.kazuyuki@userside.inc - Outlook
2025/12/22 10:01,業務TodoList
2025/12/22 10:02,業務TodoList
2025/12/22 10:03,NTTコラボメールチェック
2025/12/22 10:04,NTT光コラボレーション情報ポータルサイト－ログイン - Google Chrome
2025/12/22 10:05,NTT光コラボレーション情報ポータルサイト－ワンタイムパスワード入力 - Google Chrome
2025/12/22 10:06,NTTコラボメールチェック
2025/12/22 10:07,ダウンロード とその他 1 個のタブ - エクスプローラー
2025/12/22 10:08,※要対応 - エクスプローラー
2025/12/22 10:09,001_東コラボ - akasaka.kazuyuki@userside.inc - Outlook
2025/12/22 10:10,PowerPoint プレゼンテーション - Adobe Acrobat Reader (64-bit)
2025/12/22 10:11,00_済 - エクスプローラー
2025/12/22 10:12,【別紙1】プロモーションツール利用申請書_●●●.docx  -  互換モード - Word
2025/12/22 10:13,【別紙1】プロモーションツール利用申請書_●●●.docx  -  互換モード - Word
2025/12/22 10:14,【別紙1】プロモーションツール利用申請書_416.docx  -  保護ビュー - Word
2025/12/22 10:15,【別紙1】プロモーションツール利用申請書_●●●.docx  -  互換モード - Word
2025/12/22 10:16,PowerPoint プレゼンテーション - Adobe Acrobat Reader (64-bit)
2025/12/22 10:17,PowerPoint プレゼンテーション - Adobe Acrobat Reader (64-bit)
2025/12/22 10:18,【別紙1】プロモーションツール利用申請書_●●●.docx  -  互換モード - Word
2025/12/22 10:19,★光コラボ案内【東】その他のタブを 2 する - エクスプローラー
2025/12/22 10:20,PowerPoint プレゼンテーション - Adobe Acrobat Reader (64-bit)
2025/12/22 10:21,【20251218-1】拡大エリアにおける10Gサービス販売促進に向けたプロモーションツール提供についてその他のタブを 2 する - エクスプローラー
2025/12/22 10:22,NTT光コラボレーション情報ポータルサイト － 共有ストレージ - Google Chrome
2025/12/22 10:23,LINE WORKS
2025/12/22 10:24,Windows の既定のロック画面
2025/12/22 10:25,Windows の既定のロック画面
2025/12/22 10:26,Windows の既定のロック画面
2025/12/22 10:27,Windows の既定のロック画面
2025/12/22 10:28,Windows の既定のロック画面
2025/12/22 10:29,Windows の既定のロック画面
2025/12/22 10:30,Windows の既定のロック画面
2025/12/22 10:31,Windows の既定のロック画面
2025/12/22 10:32,Windows の既定のロック画面
2025/12/22 10:33,Windows の既定のロック画面
2025/12/22 10:34,IDLE/Locked
2025/12/22 10:35,IDLE/Locked
2025/12/22 10:36,赤坂Python用 (1 704 148 911) - TeamViewer
2025/12/22 10:37,赤坂Python用 - TeamViewer
2025/12/22 10:38,赤坂Python用 - TeamViewer
2025/12/22 10:39,赤坂Python用 - TeamViewer
2025/12/22 10:40,赤坂Python用 - TeamViewer
2025/12/22 10:41,赤坂Python用 - TeamViewer
2025/12/22 10:42,赤坂Python用 - TeamViewer
2025/12/22 10:43,赤坂Python用 - TeamViewer
2025/12/22 10:44,赤坂Python用 - TeamViewer
2025/12/22 10:45,赤坂Python用 - TeamViewer
2025/12/22 10:46,赤坂Python用 - TeamViewer
2025/12/22 10:47,スナップ アシスト
2025/12/22 10:48,【赤坂 和幸】日報.xlsm - Excel
2025/12/22 10:49,工数分析レポート_20251222_092939.xlsx - Excel
2025/12/22 10:50,工数分析レポート_20251222_092939.xlsx - Excel
2025/12/22 10:51,工数分析レポート_20251222_092939.xlsx - Excel
2025/12/22 10:52,工数分析レポート_20251222_092939.xlsx - Excel
2025/12/22 10:53,工数分析レポート_20251222_092939.xlsx - Excel
2025/12/22 10:54,工数分析レポート_20251222_092939.xlsx - Excel
2025/12/22 10:55,工数分析レポート_20251222_092939.xlsx - Excel
2025/12/22 10:56,工数分析レポート_20251222_092939.xlsx - Excel
2025/12/22 10:57,工数分析レポート_20251222_092939.xlsx - Excel
2025/12/22 10:58,工数分析レポート_20251222_092939.xlsx - Excel
2025/12/22 10:59,工数分析レポート_20251222_092939.xlsx - Excel
2025/12/22 11:00,工数分析レポート_20251222_092939.xlsx - Excel
2025/12/22 11:01,データの入力規則
2025/12/22 11:02,LINE WORKS
2025/12/22 11:03,LINE WORKS
2025/12/22 11:04,【ユーザーサイド様】 AI de 文字認識（AIよみと～る）料金改定に伴う利用規約ならびにOEM契約書（別紙）の変更について - メッセージ (テキスト形式) 
2025/12/22 11:05,003_OEM情報 - akasaka.kazuyuki@userside.inc - Outlook
2025/12/22 11:06,NTT東日本OEM情報ポータルサイト － ホーム - Google Chrome
2025/12/22 11:07,1_契約関連 - エクスプローラー
2025/12/22 11:08,最近のダウンロード履歴
2025/12/22 11:09,新しいタブ - Google Chrome
2025/12/22 11:10,LINE WORKS
2025/12/22 11:11,★20240207_ログインID、パス.xlsx - Google Chrome
2025/12/22 11:12,NTT東日本OEM情報ポータルサイト － お知らせ一覧 - Google Chrome
2025/12/22 11:13,ダウンロード - エクスプローラー
2025/12/22 11:14,※要対応その他のタブを 2 する - エクスプローラー
2025/12/22 11:15,2_業務マニュアル - エクスプローラー
2025/12/22 11:16,ダウンロード - エクスプローラー
2025/12/22 11:17,【OEM】重要事項説明書類（OCR・RPA）_260101.pptx - PowerPoint
2025/12/22 11:18,【OEM】重要事項説明書類（OCR・RPA）_260101.pptx - PowerPoint
2025/12/22 11:19,【OEM】重要事項説明書類（OCR・RPA）_260101.pptx - PowerPoint
2025/12/22 11:20,【OEM】重要事項説明書類（OCR・RPA）_260101.pptx - PowerPoint
2025/12/22 11:21,【OEM】重要事項説明書類（OCR・RPA）_260101.pptx - PowerPoint
2025/12/22 11:22,【OEM】重要事項説明書類（OCR・RPA）_260101.pptx - PowerPoint
2025/12/22 11:23,Microsoft Excel
2025/12/22 11:24,スライド 1 - Google Chrome
2025/12/22 11:25,サービス | ユーザーサイド - Google Chrome
2025/12/22 11:26,UserSideMs ログイン - Google Chrome
2025/12/22 11:27,AI de 文字認識 with AI - Google 検索 - Google Chrome
2025/12/22 11:28,【OEM】重要事項説明書類（OCR・RPA）_260101.pptx - PowerPoint
2025/12/22 11:29,Google Gemini - Google Chrome
2025/12/22 11:30,Google Gemini - Google Chrome
2025/12/22 11:31,【OEM】重要事項説明書類（OCR・RPA）_260101.pptx - PowerPoint
2025/12/22 11:32,Share とその他 1 個のタブ - エクスプローラー
2025/12/22 11:33,AIよみと～る（OEM) とその他 1 個のタブ - エクスプローラー
2025/12/22 11:34,LINE WORKS
2025/12/22 11:35,起動しています - PowerPoint
2025/12/22 11:36,（新）【OEM】重要事項説明書類（OCR・RPA）_260101.pptx - PowerPoint
2025/12/22 11:37,LINE WORKS
2025/12/22 11:38,文字認識 - Google Chrome
2025/12/22 11:39,UserSideMs 売上検索 - Google Chrome
2025/12/22 11:40,UserSideMs 売上検索 - Google Chrome
2025/12/22 11:41,NTTコラボメールチェック
2025/12/22 11:42,NTTコラボメールチェック
2025/12/22 11:43,Google Gemini - Google Chrome
2025/12/22 11:44,工数分析レポート_20251222_092939.xlsx - Excel
2025/12/22 11:45,Google Gemini - Google Chrome
2025/12/22 11:46,工数分析レポート_20251222_092939.xlsx - Excel
2025/12/22 11:47,工数分析レポート_20251222_092939.xlsx - Excel
2025/12/22 11:48,データの入力規則
2025/12/22 11:49,Microsoft Excel
2025/12/22 11:50,データの入力規則
2025/12/22 11:51,名前の管理
2025/12/22 11:52,【赤坂 和幸】日報.xlsm - Excel
2025/12/22 11:53,工数分析レポート_20251222_092939.xlsx - Excel
2025/12/22 11:54,【赤坂 和幸】日報.xlsm - Excel
2025/12/22 11:55,データの入力規則
2025/12/22 11:56,工数分析レポート_20251222_092939.xlsx - Excel
2025/12/22 11:57,工数分析レポート_20251222_092939.xlsx - Excel
2025/12/22 11:58,工数分析レポート_20251222_092939.xlsx - Excel
2025/12/22 11:59,工数分析レポート_20251222_092939.xlsx - Excel
2025/12/22 12:00,ログイン - サイボウズ Office - Google Chrome
2025/12/22 12:01,Share とその他 1 個のタブ - エクスプローラー
2025/12/22 12:02,工数分析レポート_20251222_092939.xlsx - Excel
2025/12/22 12:03,工数分析レポート_20251222_092939.xlsx - Excel
2025/12/22 12:04,
2025/12/22 12:05,工数分析レポート_20251222_092939.xlsx - Excel
2025/12/22 12:06,工数分析レポート_20251222_092939.xlsx - Excel
2025/12/22 12:07,工数分析レポート_20251222_092939.xlsx - Excel
2025/12/22 12:08,工数分析レポート_20251222_092939.xlsx - Excel
2025/12/22 12:09,工数分析レポート_20251222_092939.xlsx - Excel
2025/12/22 12:10,工数分析レポート_20251222_092939.xlsx - Excel
2025/12/22 12:11,工数分析レポート_20251222_092939.xlsx - Excel
2025/12/22 12:12,工数分析レポート_20251222_092939.xlsx - Excel
2025/12/22 12:13,工数分析レポート_20251222_092939.xlsx - Excel
2025/12/22 12:14,工数分析レポート_20251222_092939.xlsx - Excel
2025/12/22 12:15,工数分析レポート_20251222_092939.xlsx - Excel
2025/12/22 12:16,Windows の既定のロック画面
2025/12/22 12:17,Windows の既定のロック画面
2025/12/22 12:18,Windows の既定のロック画面
2025/12/22 12:19,Windows の既定のロック画面
2025/12/22 12:20,Windows の既定のロック画面
2025/12/22 12:21,Windows の既定のロック画面
2025/12/22 12:22,Windows の既定のロック画面
2025/12/22 12:23,Windows の既定のロック画面
2025/12/22 12:24,Windows の既定のロック画面
2025/12/22 12:25,Windows の既定のロック画面
2025/12/22 12:26,IDLE/Locked
2025/12/22 12:27,IDLE/Locked
2025/12/22 12:28,IDLE/Locked
2025/12/22 12:29,IDLE/Locked
2025/12/22 12:30,IDLE/Locked
2025/12/22 12:31,IDLE/Locked
2025/12/22 12:32,IDLE/Locked
2025/12/22 12:33,IDLE/Locked
2025/12/22 12:34,IDLE/Locked
2025/12/22 12:35,IDLE/Locked
2025/12/22 12:36,IDLE/Locked
2025/12/22 12:37,IDLE/Locked
2025/12/22 12:38,IDLE/Locked
2025/12/22 12:39,IDLE/Locked
2025/12/22 12:40,IDLE/Locked
2025/12/22 12:41,IDLE/Locked
2025/12/22 12:42,IDLE/Locked
2025/12/22 12:43,IDLE/Locked
2025/12/22 12:44,IDLE/Locked
2025/12/22 12:45,IDLE/Locked
2025/12/22 12:46,IDLE/Locked
2025/12/22 12:47,IDLE/Locked
2025/12/22 12:48,IDLE/Locked
2025/12/22 12:49,IDLE/Locked
2025/12/22 12:50,IDLE/Locked
2025/12/22 12:51,IDLE/Locked
2025/12/22 12:52,IDLE/Locked
2025/12/22 12:53,IDLE/Locked
2025/12/22 12:54,IDLE/Locked
2025/12/22 12:55,IDLE/Locked
2025/12/22 12:56,工数分析レポート_20251222_092939.xlsx - Excel
