日時,ウィンドウタイトル
2025-12-23 09:15,02_分析用その他のタブを 2 する - エクスプローラー
2025-12-23 09:16,Pythonでxlsxファイルを処理するコード - Claude - Google Chrome
2025-12-23 09:17,claude 次の形式のファイルにはコードの実行とファイル作成が必要です - Google 検索 - Google Chrome
2025-12-23 09:18,Pythonでxlsxファイルを処理するコード - Claude - Google Chrome
2025-12-23 09:19,ChatGPT - Google Chrome
2025-12-23 09:20,分析結果_工数ログ_20251222_0915開始.xlsx - Excel
2025-12-23 09:21,検索
2025-12-23 09:22,Google Gemini - Google Chrome
2025-12-23 09:23,Google Gemini - Google Chrome
2025-12-23 09:24,設定
2025-12-23 09:25,Google Gemini - Google Chrome
2025-12-23 09:26,Google Gemini - Google Chrome
2025-12-23 09:27,工数ログ_20251222_0915開始.csv - Excel
2025-12-23 09:28,Google Gemini - Google Chrome
2025-12-23 09:29,検索
2025-12-23 09:30,未設定 (ワークスペース) - Antigravity - quick_analyzer.py
2025-12-23 09:31,分析結果_工数ログ_20251222_0915開始.xlsx - Excel
2025-12-23 09:32,スケジュール（グループ週表示） - サイボウズ Office - Google Chrome
2025-12-23 09:33,未設定 (ワークスペース) - Antigravity - quick_analyzer.py
2025-12-23 09:34,未設定 (ワークスペース) - Antigravity - quick_analyzer.py
2025-12-23 09:35,未設定 (ワークスペース) - Antigravity - quick_analyzer.py
2025-12-23 09:36,未設定 (ワークスペース) - Antigravity - quick_analyzer.py
2025-12-23 09:37,02_分析用その他のタブを 2 する - エクスプローラー
2025-12-23 09:38,未設定 (ワークスペース) - Antigravity - quick_analyzer.py
2025-12-23 09:39,未設定 (ワークスペース) - Antigravity - quick_analyzer.py
2025-12-23 09:40,未設定 (ワークスペース) - Antigravity - quick_analyzer.py
2025-12-23 09:41,Google Gemini - Google Chrome
2025-12-23 09:42,Google Gemini - Google Chrome
2025-12-23 09:43,不正な - Google Chrome
2025-12-23 09:44,未設定 (ワークスペース) - Antigravity - quick_analyzer.py
2025-12-23 09:45,company-knowledge-docs-apne1.s3.ap-northeast-1.amazonaws.com/社内文書/04人事管理/03-01就業規則/育児介護休業規程_301001.pdf?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=ASIA2XU2P3NFJEFVWBNB%2F20251223%2Fap-northeast-1%2Fs3%2Faws4_request&X-Amz-Date=20251223T004041Z&X-Amz-Expires=60&X-Amz-Security-Token=IQoJb3JpZ2luX2VjEDkaDmFwLW5vcnRoZWFzdC0xIkcwRQIhAIaNbW6%2BSl5htE29Ro%2F27PZGhU0KYj7RGnyyp3leTqwJAiBeFN2LNXhj1YHX8LaJFf5P%2BJplBbkOy0nAm6A6GhS05irYAwgCEAEaDDczNzk4NDYzMzY3NCIMGqvYUa6beJkCkksqKrUDmPhCXnjqRvzT404n2HdMWPcXxbVZUHQElv6Lia4z4egi8%2B68yz6VnaFMiuq1oU7k9lLRCObsRQuN%2F%2BkaKm1t0l0XiB6Qdgot%2F1Vjhsh0Jp4a9YvcxNAukIoA5Hy8d4MP0uovQYRRD5fu0QdPBcR0%2F1FSPn0K08nFQ%2FY7THkSwnu%2FEU18QClnH%2F2KjKef48ww0NGOy7xmR3mGZRpAgEp0Xs3%2FRvTXME95Bb4PtNaRnenG6V7zXgUzMnIIOiDNvJ10mYTxsvztpDo4Yyjj67zEHDdwW3OgKClb135OFhsO2nrh8yTAeZ931Sm0YtJz%2FxiPwungLSbB0Md%2FVewl5kyqWlwHl%2Bbj3ne3atSb2Yj2mso97HQnfAqhat8bMZb3oaQmzsT88nrdg5P1aIw9Ml5Rz631wXTbduzdtFP0WBp6sGGGXWhWNajrzWW3OssMNPRf2XiuHSKNJn%2BtJeH9GC2XlgeaUt4s5JficmBFZVFBkiffgquj6Ap6d91Na%2FDUA9P%2Fdmw3NFvNuG0OGfUrcnYyOPlwZv5Bpy%2B8Hj1Rr6l5DMw74zdP32XQ8jS%2F7%2FOSfXwVZ1sBxvMwiMqnygY6ngH1MEHZLVbGDK1wnYbv2wHEPYel5rhFJrZyKMD%2B7ITbZRh%2BfBC02X%2F7VlHqjAKQzyEkMEhkxlnENCvFe8q1YZteB%2F%2FUEL6MH5mrOAUCqB%2FN3vnvhR5A7xhCz3oE1Q3UuCJ5gS8HOn8XjfTlmxV%2BoTfanGoJmib3TVpl8cVf%2BtoVMQUMvDxJyj9CHNh64jntTGLApGO752l7BtplyCXB1A%3D%3D&X-Amz-Signature=fc47645d3ea6e5cf72c4277b83c54484e4f6b24fceef6ea234eceaaa82804268&X-Amz-SignedHeaders=host&x-amz-checksum-mode=ENABLED&x-id=GetObject#page=6 - Google Chrome
