日時,ウィンドウタイトル
2025/12/24 9:17,C:\WINDOWS\system32\cmd.exe
2025/12/24 9:18,未設定 (ワークスペース) - Antigravity - dashboard.py
2025/12/24 9:19,LINE WORKS
2025/12/24 9:20,公開共有 - Nextcloud - Google Chrome
2025/12/24 9:21,SSLサーバ証明書価格表|アルファSSL(公式サイト) - Google Chrome
2025/12/24 9:22,01_logフォルダその他のタブを 4 する - エクスプローラー
2025/12/24 9:23,チャット | 一般 | ユーザーサイド株式会社 | akasaka.kazuyuki@userside.inc | Microsoft Teams
2025/12/24 9:24,01 社内PC登録作業.xlsx - Google Chrome
2025/12/24 9:25,スケジュール（グループ週表示） - サイボウズ Office - Google Chrome
2025/12/24 9:26,予定の詳細 - サイボウズ Office - Google Chrome
2025/12/24 9:27,受信トレイ - akasaka.kazuyuki@userside.inc - Outlook
2025/12/24 9:28,002_西コラボ - akasaka.kazuyuki@userside.inc - Outlook
2025/12/24 9:29,Google Gemini - Google Chrome
2025/12/24 9:30,Google Gemini - Google Chrome
2025/12/24 9:31,002_西コラボ - akasaka.kazuyuki@userside.inc - Outlook
2025/12/24 9:32,Google Gemini - Google Chrome
2025/12/24 9:33,Google Gemini - Google Chrome
2025/12/24 9:34,Google Gemini - Google Chrome
2025/12/24 9:35,Google Gemini - Google Chrome
2025/12/24 9:36,Google Gemini - Google Chrome
2025/12/24 9:37,002_西コラボ - akasaka.kazuyuki@userside.inc - Outlook
2025/12/24 9:38,01 社内PC登録作業.xlsx - Google Chrome
2025/12/24 9:39,01 社内PC登録作業.xlsx - Google Chrome
2025/12/24 9:40,01 社内PC登録作業.xlsx - Google Chrome
2025/12/24 9:41,01 社内PC登録作業.xlsx - Google Chrome
2025/12/24 9:42,*line - メモ帳
2025/12/24 9:43,*line - メモ帳
2025/12/24 9:44,*line - メモ帳
2025/12/24 9:45,*line - メモ帳
2025/12/24 9:46,*line - メモ帳
2025/12/24 9:47,01 社内PC登録作業.xlsx - Google Chrome
2025/12/24 9:48,01 社内PC登録作業.xlsx - Google Chrome
2025/12/24 9:49,01 社内PC登録作業.xlsx - Google Chrome
2025/12/24 9:50,01 社内PC登録作業.xlsx - Google Chrome
2025/12/24 9:51,01 社内PC登録作業.xlsx - Google Chrome
2025/12/24 9:52,01 社内PC登録作業.xlsx - Google Chrome
2025/12/24 9:53,01 社内PC登録作業.xlsx - Google Chrome
2025/12/24 9:54,01 社内PC登録作業.xlsx - Google Chrome
2025/12/24 9:55,01 社内PC登録作業.xlsx - Google Chrome
2025/12/24 9:56,01 社内PC登録作業.xlsx - Google Chrome
2025/12/24 9:57,01 社内PC登録作業.xlsx - Google Chrome
2025/12/24 9:58,01 社内PC登録作業.xlsx - Google Chrome
2025/12/24 9:59,01 社内PC登録作業.xlsx - Google Chrome
2025/12/24 10:00,01 社内PC登録作業.xlsx - Google Chrome
2025/12/24 10:01,01 社内PC登録作業.xlsx - Google Chrome
2025/12/24 10:02,01 社内PC登録作業.xlsx - Google Chrome
2025/12/24 10:03,01 社内PC登録作業.xlsx - Google Chrome
2025/12/24 10:04,01 社内PC登録作業.xlsx - Google Chrome
2025/12/24 10:05,01 社内PC登録作業.xlsx - Google Chrome
2025/12/24 10:06,未設定 (ワークスペース) - Antigravity - dashboard.py
2025/12/24 10:07,未設定 (ワークスペース) - Antigravity - dashboard.py
2025/12/24 10:08,未設定 (ワークスペース) - Antigravity - dashboard.py
2025/12/24 10:09,01 社内PC登録作業.xlsx - Google Chrome
