日時,ウィンドウタイトル
2026-01-09 11:14,start_tracker.bat - ショートカット
2026-01-09 11:15,【鎌田 璃紗】日報.xlsm - Excel
2026-01-09 11:16,【鎌田 璃紗】日報.xlsm - Excel
2026-01-09 11:17,Claude - Google Chrome
2026-01-09 11:18,Microsoft Visual Basic for Applications - 【鎌田 璃紗】日報.xlsm
2026-01-09 11:19,04_テクニカルサポート - エクスプローラー
2026-01-09 11:20,Claude - Google Chrome
2026-01-09 11:21,Claude - Google Chrome
2026-01-09 11:22,Claude - Google Chrome
2026-01-09 11:23,赤坂Python用 - TeamViewer
2026-01-09 11:24,Claude - Google Chrome
2026-01-09 11:25,Claude - Google Chrome
2026-01-09 11:26,【鎌田 璃紗】日報.xlsm - Excel
2026-01-09 11:27,Claude - Google Chrome
2026-01-09 11:28,04_テクニカルサポート - エクスプローラー
2026-01-09 11:29,Claude - Google Chrome
2026-01-09 11:30,Claude - Google Chrome
2026-01-09 11:31,Claude - Google Chrome
2026-01-09 11:32,M365特典一覧.xlsx - Google Chrome
2026-01-09 11:33,Claude - Google Chrome
2026-01-09 11:34,Claude - Google Chrome
2026-01-09 11:35,Claude - Google Chrome
2026-01-09 11:36,Claudeの料金プランを解説！ProとMaxの違いやAPIの金額も日本円で紹介 | MiraLabAI - Google Chrome
2026-01-09 11:37,Claude - Google Chrome
2026-01-09 11:38,04_テクニカルサポート - エクスプローラー
2026-01-09 11:39,*Sub AddYearToExistingCSV() - メモ帳
2026-01-09 11:40,【鎌田 璃紗】日報.xlsm - Excel
2026-01-09 11:41,Claude - Google Chrome
2026-01-09 11:42,Claude - Google Chrome
2026-01-09 11:43,Claude - Google Chrome
2026-01-09 11:44,Claude - Google Chrome
2026-01-09 11:45,claude とその他 1 個のタブ - エクスプローラー
2026-01-09 11:46,【検証太郎】日報.xlsm - Excel
2026-01-09 11:47,【検証太郎】日報.xlsm - Excel
2026-01-09 11:48,【検証太郎】日報.xlsm - Excel
2026-01-09 11:49,【Process X】テクサポ改革チーム
2026-01-09 11:50,LINE WORKS
2026-01-09 11:51,LINE WORKS
2026-01-09 11:52,LINE WORKS
2026-01-09 11:53,LINE WORKS
2026-01-09 11:54,LINE WORKS
2026-01-09 11:55,チャット | 情報システム推進室 | ユーザーサイド株式会社 | akasaka.kazuyuki@userside.inc | Microsoft Teams
2026-01-09 11:56,チャット | 情報システム推進室 | ユーザーサイド株式会社 | akasaka.kazuyuki@userside.inc | Microsoft Teams
2026-01-09 11:57,claude とその他 1 個のタブ - エクスプローラー
2026-01-09 11:58,議事録その他のタブを 2 する - エクスプローラー
2026-01-09 11:59,業務TodoList
2026-01-09 12:00,20251120_議事録_ロイズ様 棚卸システム_週次定例会（第8回）.txt - メモ帳
2026-01-09 12:01,メディア プレーヤー
2026-01-09 12:02,メディア プレーヤー
2026-01-09 12:03,メディア プレーヤー
2026-01-09 12:04,メディア プレーヤー
2026-01-09 12:05,メディア プレーヤー
2026-01-09 12:06,メディア プレーヤー
2026-01-09 12:07,メディア プレーヤー
2026-01-09 12:08,メディア プレーヤー
2026-01-09 12:09,メディア プレーヤー
2026-01-09 12:10,メディア プレーヤー
2026-01-09 12:11,メディア プレーヤー
2026-01-09 12:12,メディア プレーヤー
2026-01-09 12:13,メディア プレーヤー
2026-01-09 12:14,メディア プレーヤー
2026-01-09 12:15,メディア プレーヤー
2026-01-09 12:16,メディア プレーヤー
2026-01-09 12:17,メディア プレーヤー
2026-01-09 12:18,メディア プレーヤー
2026-01-09 12:19,メディア プレーヤー
2026-01-09 12:20,メディア プレーヤー
2026-01-09 12:21,メディア プレーヤー
2026-01-09 12:22,メディア プレーヤー
2026-01-09 12:23,メディア プレーヤー
2026-01-09 12:24,メディア プレーヤー
2026-01-09 12:25,メディア プレーヤー
2026-01-09 12:26,メディア プレーヤー
2026-01-09 12:27,メディア プレーヤー
2026-01-09 12:28,メディア プレーヤー
2026-01-09 12:29,メディア プレーヤー
2026-01-09 12:30,メディア プレーヤー
2026-01-09 12:31,メディア プレーヤー
2026-01-09 12:32,メディア プレーヤー
2026-01-09 12:33,メディア プレーヤー
2026-01-09 12:34,メディア プレーヤー
2026-01-09 12:35,メディア プレーヤー
2026-01-09 12:36,メディア プレーヤー
2026-01-09 12:37,メディア プレーヤー
2026-01-09 12:38,メディア プレーヤー
2026-01-09 12:39,メディア プレーヤー
2026-01-09 12:40,メディア プレーヤー
2026-01-09 12:41,メディア プレーヤー
2026-01-09 12:42,メディア プレーヤー
2026-01-09 12:43,メディア プレーヤー
2026-01-09 12:44,メディア プレーヤー
2026-01-09 12:45,メディア プレーヤー
2026-01-09 12:46,メディア プレーヤー
2026-01-09 12:47,メディア プレーヤー
2026-01-09 12:48,メディア プレーヤー
2026-01-09 12:49,メディア プレーヤー
2026-01-09 12:50,メディア プレーヤー
2026-01-09 12:51,メディア プレーヤー
2026-01-09 12:52,メディア プレーヤー
2026-01-09 12:53,メディア プレーヤー
2026-01-09 12:54,メディア プレーヤー
2026-01-09 12:55,メディア プレーヤー
2026-01-09 12:56,メディア プレーヤー
2026-01-09 12:57,メディア プレーヤー
2026-01-09 12:58,メディア プレーヤー
2026-01-09 12:59,赤坂Python用 - TeamViewer
2026-01-09 13:00,赤坂Python用 - TeamViewer
2026-01-09 13:01,赤坂Python用 - TeamViewer
2026-01-09 13:02,赤坂Python用 - TeamViewer
2026-01-09 13:03,赤坂Python用 - TeamViewer
2026-01-09 13:04,赤坂Python用 - TeamViewer
2026-01-09 13:05,赤坂Python用 - TeamViewer
2026-01-09 13:06,赤坂Python用 - TeamViewer
2026-01-09 13:07,赤坂Python用 - TeamViewer
2026-01-09 13:08,赤坂Python用 - TeamViewer
2026-01-09 13:09,赤坂Python用 - TeamViewer
2026-01-09 13:10,赤坂Python用 - TeamViewer
2026-01-09 13:11,赤坂Python用 - TeamViewer
2026-01-09 13:12,赤坂Python用 - TeamViewer
2026-01-09 13:13,トップページ - サイボウズ Office - Google Chrome
2026-01-09 13:14,赤坂Python用 - TeamViewer
2026-01-09 13:15,赤坂Python用 - TeamViewer
2026-01-09 13:16,赤坂Python用 - TeamViewer
2026-01-09 13:17,議事録その他のタブを 2 する - エクスプローラー
2026-01-09 13:18,Google Gemini - Google Chrome
2026-01-09 13:19,Google Gemini - Google Chrome
2026-01-09 13:20,Google Gemini - Google Chrome
2026-01-09 13:21,Google Gemini - Google Chrome
2026-01-09 13:22,Google Gemini - Google Chrome
2026-01-09 13:23,Google Gemini - Google Chrome
2026-01-09 13:24,Google Gemini - Google Chrome
2026-01-09 13:25,Google Gemini - Google Chrome
2026-01-09 13:26,Google Gemini - Google Chrome
2026-01-09 13:27,Google Gemini - Google Chrome
2026-01-09 13:28,チャット | 情報システム推進室 | ユーザーサイド株式会社 | akasaka.kazuyuki@userside.inc | Microsoft Teams
2026-01-09 13:29,チャット | 打合せ | ユーザーサイド株式会社 | akasaka.kazuyuki@userside.inc | Microsoft Teams
2026-01-09 13:30,画像保存の確認
2026-01-09 13:31,打合せ | ユーザーサイド株式会社 | akasaka.kazuyuki@userside.inc | Microsoft Teams
2026-01-09 13:32,Greenshot イメージ エディター
2026-01-09 13:33,打合せ | ユーザーサイド株式会社 | akasaka.kazuyuki@userside.inc | Microsoft Teams
2026-01-09 13:34,スクリーンショットその他のタブを 4 する - エクスプローラー
2026-01-09 13:35,スクリーンショットその他のタブを 4 する - エクスプローラー
2026-01-09 13:36,スクリーンショットその他のタブを 4 する - エクスプローラー
2026-01-09 13:37,タスク マネージャー
2026-01-09 13:38,スクリーンショットその他のタブを 4 する - エクスプローラー
2026-01-09 13:39,スクリーンショットその他のタブを 4 する - エクスプローラー
2026-01-09 13:40,スクリーンショットその他のタブを 4 する - エクスプローラー
2026-01-09 13:41,スクリーンショットその他のタブを 4 する - エクスプローラー
2026-01-09 13:42,スクリーンショットその他のタブを 4 する - エクスプローラー
2026-01-09 13:43,スクリーンショットその他のタブを 4 する - エクスプローラー
2026-01-09 13:44,スクリーンショットその他のタブを 4 する - エクスプローラー
2026-01-09 13:45,Netmeister登録待ち.png
2026-01-09 13:46,スクリーンショットその他のタブを 4 する - エクスプローラー
2026-01-09 13:47,スクリーンショットその他のタブを 4 する - エクスプローラー
2026-01-09 13:48,スクリーンショットその他のタブを 4 する - エクスプローラー
2026-01-09 13:49,スクリーンショットその他のタブを 4 する - エクスプローラー
2026-01-09 13:50,スクリーンショット 2025-12-23 130618.png
2026-01-09 13:51,スクリーンショットその他のタブを 4 する - エクスプローラー
2026-01-09 13:52,スクリーンショットその他のタブを 4 する - エクスプローラー
2026-01-09 13:53,メディア プレーヤー
2026-01-09 13:54,*Sub AddYearToExistingCSV() - メモ帳
2026-01-09 13:55,*# 売上分析システム仕様書（20251226 最終確定マスター版） - メモ帳
2026-01-09 13:56,*ロイズ様 棚卸システム_週次打合せ（第X回）議事録 - メモ帳
2026-01-09 13:57,*ロイズ様 棚卸システム_週次打合せ（第X回）議事録 - メモ帳
2026-01-09 13:58,*ロイズ様 棚卸システム_週次打合せ（第X回）議事録 - メモ帳
2026-01-09 13:59,*ロイズ様 棚卸システム_週次打合せ（第X回）議事録 - メモ帳
2026-01-09 14:00,*ロイズ様 棚卸システム_週次打合せ（第X回）議事録 - メモ帳
2026-01-09 14:01,会議のコンパクト ビュー | 打合せ | ユーザーサイド株式会社 | akasaka.kazuyuki@userside.inc | Microsoft Teams
2026-01-09 14:02,スケジュール（月表示） - サイボウズ Office - Google Chrome
2026-01-09 14:03,名前を付けて保存
2026-01-09 14:04,議事録その他のタブを 4 する - エクスプローラー
2026-01-09 14:05,打合せ | ユーザーサイド株式会社 | akasaka.kazuyuki@userside.inc | Microsoft Teams
2026-01-09 14:06,Microsoft Teams 会議で Copilot を使用する - Microsoft サポート - Google Chrome
2026-01-09 14:07,Copilot で Teams のスレッド内容を自動要約する | 情シスレスキュー隊 - Google Chrome
2026-01-09 14:08,Greenshot イメージ エディター
2026-01-09 14:09,Greenshot イメージ エディター
2026-01-09 14:10,Greenshot イメージ エディター
2026-01-09 14:11,yjk365.jp/jirei/teams_copilot/ - Google Chrome
2026-01-09 14:12,TeamsのWeb会議でCopilotを使ってみました。 | yjk365 - Google Chrome
2026-01-09 14:13,チャット | 打合せ | ユーザーサイド株式会社 | akasaka.kazuyuki@userside.inc | Microsoft Teams
2026-01-09 14:14,チャット | USサービス打合せ | ユーザーサイド株式会社 | akasaka.kazuyuki@userside.inc | Microsoft Teams
2026-01-09 14:15,2025年度方針・計画説明会 | ユーザーサイド株式会社 | akasaka.kazuyuki@userside.inc | Microsoft Teams
2026-01-09 14:16,Greenshot イメージ エディター
2026-01-09 14:17,2025年度方針・計画説明会 | ユーザーサイド株式会社 | akasaka.kazuyuki@userside.inc | Microsoft Teams
2026-01-09 14:18,Greenshot イメージ エディター
2026-01-09 14:19,議事録作成プロンプト指示文例6選＋＠｜スキルフルな人生 - Google Chrome
2026-01-09 14:20,2025年度方針・計画説明会 | ユーザーサイド株式会社 | akasaka.kazuyuki@userside.inc | Microsoft Teams
2026-01-09 14:21,*あなたは「上層部や経営層の会議議事録を作成する専門家」です。以下の会議 - メモ帳
2026-01-09 14:22,
2026-01-09 14:23,Greenshot イメージ エディター
2026-01-09 14:24,2025年度方針・計画説明会 | ユーザーサイド株式会社 | akasaka.kazuyuki@userside.inc | Microsoft Teams
2026-01-09 14:25,Greenshot イメージ エディター
2026-01-09 14:26,スクリーンショットその他のタブを 4 する - エクスプローラー
2026-01-09 14:27,Document.docx - Google Chrome
2026-01-09 14:28,会話 | M365 Copilot - Google Chrome
2026-01-09 14:29,Windows の既定のロック画面
2026-01-09 14:30,Windows の既定のロック画面
2026-01-09 14:31,Windows の既定のロック画面
2026-01-09 14:32,Windows の既定のロック画面
2026-01-09 14:33,Windows の既定のロック画面
2026-01-09 14:34,Windows の既定のロック画面
2026-01-09 14:35,Windows の既定のロック画面
2026-01-09 14:36,Windows の既定のロック画面
2026-01-09 14:37,Windows の既定のロック画面
2026-01-09 14:38,Windows の既定のロック画面
2026-01-09 14:39,IDLE/Locked
2026-01-09 14:40,IDLE/Locked
